ds,y
2022-08-06,26400.0
2022-08-07,26400.0
2022-08-08,26200.0
2022-08-09,26000.0
2022-08-10,26100.0
2022-08-11,27500.0
2022-08-12,29200.0
2022-08-13,29000.0
2022-08-14,29000.0
2022-08-15,29700.0
2022-08-16,29500.0
2022-08-17,29600.0
2022-08-18,29800.0
2022-08-19,29600.0
2022-08-20,29600.0
2022-08-21,30200.0
2022-08-22,30000.0
2022-08-23,29800.0
2022-08-24,30000.0
2022-08-25,29600.0
2022-08-26,29600.0
2022-08-27,29600.0
2022-08-28,29600.0
2022-08-29,29200.0
2022-08-30,29200.0
2022-08-31,29100.0
2022-09-01,29200.0
2022-09-02,29100.0
2022-09-03,28700.0
2022-09-04,28600.0
2022-09-05,28600.0
2022-09-06,28800.0
2022-09-07,28600.0
2022-09-08,28300.0
2022-09-09,27900.0
2022-09-10,27900.0
2022-09-11,28200.0
2022-09-12,28000.0
2022-09-13,27800.0
2022-09-14,27400.0
2022-09-15,27200.0
2022-09-16,27400.0
2022-09-17,27000.0
2022-09-18,26400.0
2022-09-19,26000.0
2022-09-20,26200.0
2022-09-21,25400.0
2022-09-22,25400.0
2022-09-23,25600.0
2022-09-24,25200.0
2022-09-25,24800.0
2022-09-26,24600.0
2022-09-27,24200.0
2022-09-28,23500.0
2022-09-29,23400.0
2022-09-30,23400.0
2022-10-01,23400.0
2022-10-02,23400.0
2022-10-03,22700.0
2022-10-04,23666.0
2022-10-05,23500.0
2022-10-06,23083.0
2022-10-07,23500.0
2022-10-08,24500.0
2022-10-09,24583.0
2022-10-10,25166.0
2022-10-11,25000.0
2022-10-12,25000.0
2022-10-13,25166.0
2022-10-14,25166.0
2022-10-15,25000.0
2022-10-16,25000.0
2022-10-17,25333.0
2022-10-18,25500.0
2022-10-19,25500.0
2022-10-20,25500.0
2022-10-21,25666.0
2022-10-22,25666.0
2022-10-23,25500.0
2022-10-24,25833.0
2022-10-25,25666.0
2022-10-26,25666.0
2022-10-27,25666.0
2022-10-28,25666.0
2022-10-29,25500.0
2022-10-30,25500.0
2022-10-31,26000.0
2022-11-01,26000.0
2022-11-02,26333.0
2022-11-03,26500.0
2022-11-04,26166.0
2022-11-05,26333.0
2022-11-06,26333.0
2022-11-07,26333.0
2022-11-08,26333.0
2022-11-09,26500.0
2022-11-10,26833.0
2022-11-11,27000.0
2022-11-12,27166.0
2022-11-13,27166.0
2022-11-14,27166.0
2022-11-15,27333.0
2022-11-16,27500.0
2022-11-17,27083.0
2022-11-18,27250.0
2022-11-19,27416.0
2022-11-20,27750.0
2022-11-21,27416.0
2022-11-22,27500.0
2022-11-23,28083.0
2022-11-24,28416.0
2022-11-25,28333.0
2022-11-26,28916.0
2022-11-27,28750.0
2022-11-28,29666.0
2022-11-29,29666.0
2022-11-30,30166.0
2022-12-01,29833.0
2022-12-02,30166.0
2022-12-03,30166.0
2022-12-04,30166.0
2022-12-05,30500.0
2022-12-06,30333.0
2022-12-07,30500.0
2022-12-08,30333.0
2022-12-09,30000.0
2022-12-10,30000.0
2022-12-11,30166.0
2022-12-12,30166.0
2022-12-13,30000.0
2022-12-14,30166.0
2022-12-15,30000.0
2022-12-16,29833.0
2022-12-17,29833.0
2022-12-18,30000.0
2022-12-19,29500.0
2022-12-20,29166.0
2022-12-21,29000.0
2022-12-22,28500.0
2022-12-23,28500.0
2022-12-24,28666.0
2022-12-25,28666.0
